C. Kenni, Crawd
Ca, Calne
Caballero Rojo, Miguel
Cabane, Al
Caccini, Laura
Caccini, Ricardo
Cacooler, Kacricon
Cadel, Kudal
Cadenzavna Eve, Maria
Cadenzavna Eve, Serena
Cadillac, Monique
Cadillac, Erwin
Cadillac, Escalade
Cadner, Ezzo
Caduceus, Thoth
Caeli, Lichtendahl
Caelum, Michelangelo
Caesar, Malik
Caesar, Gaius Julius
Caesar, Julius
Caesar, Julius
Cain, Dr.
Cain, Rob
Cain, Raymond
Caine, Zash
Cainz, Drocell
Cait Sith, Cheshire
Cait-Sith, Azalie
Cal Bayan, Sven
Calder, Ranewater
Caldina, Kizaki
Caldwell, Asagi
Calessa, Buzam A.
Calius, Findorr
Caliver, Sedi
Caliver, Raymond
Caliver, Tesera
Caliver, Millie
Calkland, Stella
Callas, Antonio
Callaud, Milk
Callaway, Matthäus
Callaway, Fei
Callenreese, Aslan Jade
Callenreese, Jim
Callias, Lugo
Callista, Psyche
Callistis, Ursula
Callous, Mistrene
Callum, Simon
Calman, Chris
Calore, Eco
Calpetti, Luigi
Calrissian, Lando
Calsed, Lucel
Caluades, Nerva Julius
Caluanthes, Force
Calusky, Brian Philip
Calvados, Valério
Calvi, Joseph
Calvin, Rachel
Calvino, Piccaro 
Cambell, Cecily
Camel, Andre
Camel, Chris
Camelia, Lugis F.
Camelopardalis, Bartsch
Camentar, Ars
Cameron, Carol
Camich, Isurugi
Camilla, Camille Inaho
Camille, Ms.
Camone, Al
Camp, Henry
Campanella, Monica
Campanella, Luchino B.
Campbell, Meer
Campbell, Pat
Campbell, Eleanor
Campbell, Erika
Campbell, Robert Maximilian
Campbell, Oliver
Campbell, Cyndi
Campbell, Arthur
Campbell, Fusae
Campbell, Takumi
Campbell, Viscount
Campbell, Miranda
Campbell, Mira
Campbell, Maria
Campbell, Monica
Campos, Jose
Camury, Dwight
Camuze, Fidel
Camuze, Daril
Canaan Praeses, Shin
Canales, Lida
Canaver, Eileen
Cancer, Death Mask
Cancer, Manigoldo
Cancer, Sage
Cancer, Schiller
Cancer, Deathtoll
Candle, Erica
Candlestick, Nanvel
Candy, Nick
Cane, Lele
Cane, Night
Canele, Savarin
Canetti, Catalina
Canis Major, Sirius
Cannary, Iris
Cannon, Claris
Cannud, Sabrina
Canopus, Benjamin
Cantaré, Reihart Frihanov
Cantare, Leehalt
Canto, Dia
Canyon, Donn
Canyon, Rosa
Cao, Cao
Cao, Cao
Cao, Cao
Cao, Hong
Cao, Ren
Cao, Cao
Cao, Pi
Cao, Xuanliang
Cao, Yanbing
Capa, Gates
Capel, Karol
Capella, Bryon
Capella, Lilley
Capellini, Furitsuke
Capistrano, Frolaytia
Capone, Bege
Capone, Pez
Caponero, Supreme Commander
Capote
Caprice, Diana
Caprice, Ci
Capricorn, Shura
Capricorn, El Cid
Capricorn, Ionia
Capricorn, Izo
Caproni, Giovanni
Captain, Miyamoto
Capulet, Juliet Fiammata Asto
Capulet, Juliet
Cara, Iris
Carabel, Ladd
Carabel, Deed
Carandora, Lorenzo
Carat, Faury
Cardair, Argos XIV
Cardemonde, Rivalz
Cardiff-Shishioh, Renais
Cardinal, Sakomizu
Care, Hiling
Carelen, Camalo
Carew, Ruth
Carey, Orlin
Cargo, Elchi
Cariello, Sylvie
Carigiri, Jinako
Carillon, Kabwe
Carina, Atlas
Carius, Otto
Carks, Danny
Carl, Charles
Carleone, Don
Carlini, Lobelia
Carlisle, Sisco
Carlisle, Julie
Carlo, Diego
Carlos, Mac
Carlos, Lagarto
Carlos, Brother
Carlos, Enrique
Carlot, Amanda
Carlsberg, Marie en
Carlsen, Ralph
Carlstedt, Maria
Carlstedt, Rosa
Carlton, Lydia
Carlton, Professor
Carlton, Yuri
Carlyle, Bianca
Carme, Damien
Carmel, Wilhelmina
Carmel, Hesse
Carmen, Sphintus
Carmen, Carmen
Carmen, Thera
Carmen, Holos
Carmen, Olive
Carmichael, Fee
Carmichael, Albert
Carmine, Meena
Carmine, Georg
Carmine, Mio
Carnais, Amazon
Carnarvon, Lord
Carneiro Jr., Daniel
Carnera, Maria
Carolina, Mina
Carpa, Aura
Carpenter, Joseph
Carpentier, Cabrera
Carr, Aimee
Carraclough, John
Carraclough, Melissa
Carraclough, Sam
Carradine, Keak
Carradine, Starling
Carradine, Gallows
Carradine, Shane
Carrey, Marilyn
Carrier, Irene
Carroll, Alice
Carroll, Jessica
Carson, Carson D.
Carson, Luna
Carson, Luka
Cartelet, Alice
Cartelet, Mother
Cartelet, Father
Carter, Tak
Carter, Penny
Carter, Anthony
Carter, Howard
Carter, Glenda
Carter, Randolph
Cartier, Alan
Cartwright, Yuri
Cartwright, Sytry
Cartwright, Alexander Joy
Caruana, Verdiana
Caruana, Liana
Caruana, Verdiana
Carudas Solidor, Vayne
Carunoa, Maryl
Carvajal, Conrad
Casals, Vassago
Cascade, Janus
Case, Cage
Caseus, Hamon
Casey, Justin
Cashim, Crinn
Cashim, Donan
Cashim, Fina
Cashim, Rabin
Cashim, Royle
Casimir, Miranda
Casiraghi, Girolamo
Casper, Wilhelm
Cassano, Eddie
Cassidy, Billy
Cassidy, Butch
Cassidy, Juneau
Cassiopeia, Erda
Cassius, Paolo
Castagnier, Emil
Castea, Huey
Castella, Mrs.
Casterede, Marius
Castiglioni, Beatrice
Castin, Cam
Castle, Frank
Castorp
Castreia, Muir
Castro, Fidel
Casull, Pacifica
Casull, Shannon
Casull, Raquel
Casull, Carol
Casull, Yuhma
Cat, Star
Cat, Cutie
Cataldi, Vittorio
Catalina, Rebecca
Catalonia, Dorothy
Catalonia, Hundelt
Catalonia, Chilias
Caterpillar, Carol
Catesby, William
Catnipp, Candice
Catroshife, Eiraheeari
Caty, Beefeater E
Caudinus, Lucius
Caulfield, Patricia
Caurau, Rigrit Bers
Cavalcanti, Andrea
Cavalier, Iria
Cavallo, Johan
Cavallone, Dino
Caven, Traute
Cavendish, Sir Isaac
Cavendish, Diana
Cavendish, Daryl
Cavendish, Maril
Cavendish, Meril
Cavendish, Bernadette
Cavill, Lloyd
Caxton, Shane
Cayce
Cayenne, Toshikazu
Cayman, Lois
