G., Kenny
G. Darlton, Alfred
G. Garf Ensance, Logen
G. Grandchester, Terrence
G. King, Pastel
Ga, Gante
Gaap, Bernard
Gabimaru, Shinji
Gabimaru, Kouzou
Gabimaru, Hanae
Gablae, Gavlet
Gable, Yazan
Gaborini, Angelo
Gabriel, Alan
Gabriel, Monica
Gabriel, Oscar
Gabriel, Britannia
Gabriel, Beat
Gabrielli, Elenora
Gabrielli, Berenice
Gabriev, Gourry
Gabriev, Rowdy
Gadermann, Ernst
Gadget, Merrybell
Gado, Li
Gadon, Klaus
Gadou, Nagamasa
Gadou, Hidehiko
Gae Bolg, Rhea
Gae-Ha, Kim 
Gaebolg, Precht
Gael, Jalder
Gaen, Izuko
Gaen, Kyouya
Gaeudemus, Sulia
Gaff Marea, Shandy
Gaga, Rin
Gagada, Aiko
Gagamaru, Gin
Gagarik, Zorya
Gagarin, Yuri Alekseyevich
Gagarin, Yuri
Gagarina, Sasha Ilyinichna
Gagler, Killy
Gagnier, Cécile
Gagtos, Ganigas
Gahee, Fox
Gahha, Kalakala
Gai, Kudo
Gaidar, Alexander
Gail, Neil
Gaillard, Olivier
Gain, Laura
Gain, Chester
Gain, Quato
Gainsborough, Aerith
Gainsbourg, Richard
Gainsbourg, Sophie
Gaira, Gido
Gajiro, Molly
Gakesaka, Minori
Gakine, Shima
Gakkun, Manabu
Gaku, Shin Ten
Gaku, Kin
Gaku, Suu
Gaku, Jun
Gakuganji, Yoshinobu
Gakujin, Go
Gakumazawa, Tatsuko
Gakumazawa, Reiichi
Gakumazawa, Gaisuke
Gakumazawa, Gouto
Gakumazawa, Stella
Gakusan, Takao
Gakushin, Bunken
Gakutensoku, Ai
Galarde, Eddie
Galarde, Sid
Galassia, Strega
Gale, Dorothy
Gale, Ahmos
Gale, Astrid
Gale, Eugene
Galette, Desil
Galette, Zeheart
Galette, Mirei
Galette des Rois, Leonmitchelli
Galette des Rois, Gaul
Galeu, Rem
Galford, Chester Ray
Galgalim, Sofia
Galgantis, Shagal
Galiele, Galiole
Galilei, Galileo
Galilei, Galileo 
Galilei, Galileo
Galilei, Galileo
Galilei, Galileo
Gallagher, Sara
Gallagher, Andrew
Gallagher, Lennox
Gallan, Samara
Galland, Adolfine
Gallant, Alfried
Gallea , Jonas
Galliano, Dario
Galliard, Porco
Galliard, Marcel
Galliasta, Atrum
Gallo, Giovanni
Gallo, Cordelia
Gallon Getaway, Gasback
Gallop, Hester
Galois, Cubik
Galosh, Volkov
Galtran, Sandro
Galu-Gu, Mulu-Elu
Galva, Syon
Galvani, Reika
Gam, Enge
Gamagoori, Yuri
Gamagoori, Ira
Gamba Ranger, Red
Gamba Ranger, Yellow
Gamba Ranger, Green
Gamba Ranger, Pink
Gamba Ranger, White
Game, Will
Gamma, Narberal
Gamon, Yuuta
Gamou, Keigo
Gamou, Machiko
Gamou, Shinkichi
Gamou, Ujisato
Gamou, Toshiki
Gamou, Gouzou
Gamou, Jirou
Gamou, Maki
Gamou, Koyuki
Gan, Jered
Ganaha, Hibiki
Ganaha, Koku
Ganaha, Himeno
Ganaha, Mamoru
Ganasch, Varchia
Ganbino, Angela
Ganbino, Rico
Gandor, Luck
Gandor, Keith
Gandor, Berga
Ganeko, Mai
Ganelon, Maximilian Bennusa
Ganesha, Balgus
Gang, Han-Gyul
Gang, Dong Su
Gang, Ah Ji
Gang, Ha-ill
Gang, A Yeong
Gang, Myeong-ja
Gang, Man-Seok
Gangaragash, Gigalt
Gangnus, Haaselia Alois
Gania Killas, Baan
Ganimard, Melon
Ganis, Jin
