J. C. Ashenbert, Edgar
J. Matsukawa, Alex
J. Speed, Bruce
Ja, Bang
Ja, Chi-Ho
Ja, Wangnan
Ja Rim, Wang
Jaba, Jabao
Jabami, Yumeko
Jacintha, Vincent
Jack, Walter
Jack, Mick
Jackrow, Derek
Jacks, Michael
Jackson, Lynn
Jackson, Atsuko
Jackson, Helen
Jackson, Michael
Jackson, Jessie
Jackson, Ben
Jackson, Tadpole
Jackson, Lee
Jackson, Kate Lee
Jackson, Joshua
Jacquard, Jean-Jacques
Jacques Mondo, Jean
Jade, Robert
Jae, Jiyeon
Jae, Hoon
Jae-Ha, Yoo
Jaeger, Radi
Jaegerjaquez, Grimmjow
Jagan, Tobias
Jagasaki, Shintarou
Jaggar, Yuuki
Jagger, Nick
Jaguar, Junichi
Jaguar, Jessie
Jaguar D., Saul
Jahad, Anaak
Jahad, Endorsi
Jahad, Ha Yuri
Jahad, Khun Maschenny
Jahad, Garam
Jahad, Eurasia Anne
Jahana, Mao
Jahana, Reimi
Jahana, Miranda
Jai, Hwa
Jaiya, Shin
Jajjina, Natsu
Jajjina, Momo
Jakago, Aki
Jakob, Peter
Jakuzure, Nonon
Jamaluddin, Hezli
Jamaru, Asim
Jameel, Phyrne
James, Mr.
James, Richard
James, Laura
James, Matthew
James Moriarty, Louis
James Moriarty, William
James Moriarty, Albert
Jamiko, Yura
Jamil, Reinhart
Jammwal, Arsh
Jan de Shiha, Sanu
Jan Di, Suh 
Jandara, Rin
Janetine, Olga
Janfus, Hyoue
Jang, Dal Bong
Jang, Yun-Ook
Jang, Han Seo
Jang, Beo Jin
Jang, Ha-da
Jang, Jijon
Jang, Shinah
Jang, Sosul
Jang, Ma-Ha
Jang, Hyo Yi
Jang, Hyo Jae
Jang, Young-Sun
Jang, Joonho
Jang, Yoo Baek
Jang, Yoo-Hui
Jang, Mae-Yu
Jang, Hyun
Jang, Bo-Ra
Jang, Hyunseung
Jang, Hyomin
Jang, Ah-Jung
Jang, Whie-Young
Jang, Sung-Gi
Jang, Izzy
Jang, Mira
Jang, Gwang-nam
Jang, Hee-Jae
Jang, Han Nam
Jang, Richard
Jang-Il, Jeon
Janisty, Wilna
Jankulovski, Karen
Janome, Wakatake
Janome, Maruko
Janssen, Marcel
Jansson, Lotte
Jarnach, Mitabi
Jarno, Utsutsuno
Jarodek, Kristobal Hasslo
Jarodek, Catalina Camilla
Jarre, Gadras
Jaruna, Sita
Jasin, Gadeb
Jasmine, Chamomile
Jasmine, Ayumi
Jasper, Beryl
Jasper, Frederick
Jasper, Zack
Javert
Jawkân, Micha
Jaws, Pomade
Jaws, Laura
Jay, Jay M.
Jay, Brian
Jay, Eddie
Jayer, Hyde
Jürgens, Peter
JD, Dan
JD, Coco
Jead, Dust
Jean, Bowman
Jean, Mrs
Jean, Memory
Jean Gérard, Andre Roland
