L, Anastasia
L Grebnev, Kozlov
Lü, Liang
L'Ciel, Yurin
L'Cruselle, Leticia
L'Cruselle, Guido
L'Cruselle, Friedhelm
L'Cruselle, Leonhardt
L'Cruselle, Alexander
L'Cruselle, Karlheinz
L'Cruselle, Ludgard
L'Cruselle, Ozwald
L'Dhal, Joyce
L'etoile, Noelle
L. Caradiam, Airi
L. Darlton, Bart
L. Fox, Eduardo
L. Greenwood, Shera
L. Greenwood, Keera
La, Yuty
La, Yucho
la Arwall, Nadia
la Britannia, Clovis
La Flaga, Mu
La Hire, Gregorio
La Hire, Maria
La Lette, Rubette
La Martos, Cicero
La McKenzie, Zonmi
La Mer, Perrier
La Mer, Mimoza
La Midin, Dimida
La Monique, Keirean
La Monique, Aristia
La Monique, Jeremia
La Mor, Mule
La Oliviria, Alice
La Oliviria, Louis
La Oliviria, Liliana
La Oliviria, Radius
La Oliviria, Leticia
La Pucelle, Jeanne
La Raviaz, Eugo
La Renald, Lucy Felips
La Salle, Claudia
La'juck, Nick
Laaran, Rau
Laaz, Mimsy
Labatt, Mayura
Labelle, John
Laboo, Axel
Labule, Mint
Lachesil, Theo
Lachloa, Valvis
Lacoste, Bobby
Lacot, Jilleena
Lacroix, Yuri
Lacroix, Charce
Lada, Niva
Ladam, Napa
Ladd, Chris
Ladnarash, Ulbireo
Ladorio, Romina
Lady, Phantom
Ladybug, Lisa
Laelius, Gaius
Laevatein, Loki
Lafee, Ren
Laffite, Robin
Lafine, Fou
Lafitte, Cecile
Laforet, Chane
Laforet, Huey
Laforet, Leeza
Lagat, Gideon
Lage, Torris
Lagen, Barbaresco
Lagen, Kiliko
Lagoonaria, Sakis Sno Herzgil
Lagoonaria, Cloche Herzgil
Lagoonaria, Zwau Herzgil
Lagu Edraikerius, Managariastinockle
LaGuerra, Fernando
Lagusa, Angelo
Lagusa, Luce
Lagusa, Testa
Lagusa, Elena
Lai, Rong
Laijie, Keith
Lain, Rozerio
Lainur, Lev
Lair, Irma
Laird, Vanessa
Laisenbach, Timothy
Laite, Chanter
Lake Sierra Vise Ell, Ishuca
Lake Sierra Vise Ell, Blood
Laker, Aster
Lala, Myra
Lalage, Liriope
Lalena, Lelei la
Lalena, Arpeggio el
Laleta, Saleluya
Lalo, Vincent
Lam, Leslie
Lambert, April
Lambert, Beatrice
Lambert, Rebecca
Lambiel, Stéphane
Lambretta, Lynn
Laminitus, Fanis
Lamorlière, Rosalie
Lamp, Acetylene
Lamp
Lampard, Sir Edward
Lamperd, Liltotto
Lamperouge, Lelouch
Lamperouge, Nunnally
Lamperouge, Rolo
Lamzfort, Rosalind
Lan, YaTing
Lan, Siu
Lan, Father
Lan, Shao
Lan, Mi
Lan, Wangji
Lan, Xichen
Lan, Sizhui
Lan, Jingyi
Lan, Qiren
Lan, Xuanyu
Lana Jude, Tomoka
Lanberts, Heinrich
Lancaster, Marian
Lancaster, Leonora
Lancaster, Patricia
Lancaster, Lily
Lance, Diane
Lance, Larry
Lancelot, Richard
Lancelot, Maria
Lanceman, Luce
Lanchester, Acony
Lanchester, Kaon
Lancia, Grad
Lancorse, Hollow
Land, Maxter
Land, Max
Landau, Cujo
Landau, Nora
Landegre, Regis K.
Landegre, Gejutel R.
Landers, Ash
Landlavizar, Cynthia
Landlord, The
Landlufen, Orphelia
Landrock, Gareth
Landsborough, Maze
Landsknecht, Hitomi
Landt, Eau
Landzaat, Faldio
Lane, Cynthia
Lane, Shirley
Lane, Betty
Lanford, Rena
Lanfranc, Clara
Lanfranc, Eric
Lang, Dan
Lang, Adam
Lang, Qing
Lang, Fritz
Lang, Doris
Lang, Aristide
Lang, Valus
Lang, Heydrich
Lang, Qiao
Lang de Shar Harva, Leaf
Langart, Lud
Langbard, Ishtar
Lange, Monica
Lange, Jessica
Lange, Arthur
Lange, Joseph
Langford, Izana
Langheim, Emilio
Langley, Jake
Langley, Xenos
Langley, Karen
Langley, Mimosa
Langnar, Ilse
Langraph, Duett
Langton, Christine
Lankars, Judom
Lanke, Marion
Lansaihe, Sakuya
Lanson, Eros
Lanson, Angus
Lanson, Gloria
Lanster, Teana
Lanster, Tiida
Lanthanoir, Delta
Lantis, Yule
Lanzard, Abel
Lao, Leon
Lao, Long
