R. Hill, Sugar
R. Knightguy, Kim
R. Owen, Joshua
R. Tsarskiy, Krans
Ra, Kan
Ra, Ho
Raban, Basara
Rabb, David
Rabbit, Seitarou
Rabbit, Rosie
Rabbit, Rachel
Rabbit, Rose
Rabbit, White 
Rabble, Jess
Rabdulmunagh, Oratorie
Rabier, Idol
Raccoon, Rocket
Rachmadi, Rasa Massoud
Rachmaninoff, Furcas
Radamu, Nick
Radars, Glenn
Radcliffe, Stecken
Radford, Richard
Radhabinod, Paul
Radiata, Lycoris
Radim, Zol
Radin Tidat, Jihan
Radinov, Natasha
Radirest Horun, Sukur
Radiru, Esil
Radisch, Luccora
Radofrics, Carrisford
Radom, Marion
Radou, Gensui
Radou, Ren
Raeven, Elias Brandt Dale
Rafale, Leon
Raffaeli, Quitterie
Raffaeli, Funicia
Raffaeli, Olive
Raffit, Riffael
Rafkrat, Lena
Rafroria, Sherrice
Rafroria, Leona
Rafu, Bokus
Ragawa, Kiriko
Rage, Millia
Raggs, Weldeschtein  Krom
Raginei, Rumaty Ivan di
Ragnason, Ruti
Ragu, Dias
Ragu, Elle
Ragun, Yen
Ragun, Jin
Ragun, Hideaki
Ragun, Akane
Ragus, Nils 
Rah, Levih
Rahiro, Asha
Rahman, Sehrul
Rahnclave, Elseria
Rahnclave, Aluxalt
Rai, Aishwarya
Raibaku, Atoferatofe
Raibaku, Alex R.
Raibaku, Kalman
Raichi, Jingo
Raichouka, Faylin
Raiden, Sakada
Raiden, Mei
Raidley, Celia
Raien, Haku
Raigou, Mikan
Raijinga, Naomi
Raijou, Hiten
Raijou, Manten
Raikkonen, Kati
Raikola, Ulla
Raikouji, Chizuru
Raimi, Sharon
Raimon, Tarou
Raimon, Natsumi
Raimon, Souichirou
Rain, Matilda
Rain, Nijihashi
Rain, Alexis
Rainhawk, Batoal
Rainstorm, Sheyenne
Rainsworth, Sharon
Rainsworth, Shelly
Rainsworth, Sheryl
Rainuma, Kouzou
Rainuma, Tsubasa
Rainy, Bob
Rainyday, Zazie
Raionji, Manson
Rairen, Leila
Raise, Max
Raishi, Moena
Raison, Mell
Raizar, Schnee
Raize, Gren
Rajof, Kasak
Rajof, Agwen
Rakan, Jack
Rakan, Teo
Rakan, Elwin
Rakan, Banko
Rakandou, Akira
Rakels, Rirove
Rakia, Marius Victrix
Rakita, Sotoka
Rakkasei, Piiko
Raku, Teru
Rakus Lestrine Ha, Kirius
Ral, Ramba
Ral, Petra
Ral, Father
Ral
Ral, Jimba
Ralei, Ninym
Raleigh, Walter
Ralfon, Goz
Ralgris, Celistia
Rall, Gundula
Ram, Choi
Ram, Tilas 
Rama, Sayaka
Ramal, Shambal
Ramal, Ajeel
Ramanathan, Rishi
Ramírez
Rame, Yulrich
Ramenman, Victory
Ramirez, Anna
Ramius, Murrue
Rammsteiner, Haine
Rammsteiner, Giovanni
Rammsteiner, Ernst
Ramon, Commander Luis
Ramon, Lulucy
Ramon, Ruru
Ramon, Goblin
Ramsbeckite, Hematite
Ramses, User
Ramuda, Ruslan
Ramus, Alas
Ran, Shuuei
Ran, Ryuuren
Ran, Asuka
Ran, Garrod
Ran
Ran, Juusan hime
Ran, Wakatsuki
Ran, Saiwa
Ran, Areus
Ran, Hou
Ran, Majo
Ran, Yu
Ran, Nagisa
Ranba, Hagiri
Ranbashi, Ran
Rand, Randy
Rand, Camille
Rand, Ayn
Rand, Forest
Rand Philistin, Felicia
Rand-K'ai, Daniel Thomas
Randal, Joan
Randall, Arthur
Randall, Garudos
Randall, Rebecca
Randall, Faul
Randall, Susanna
Randall, Kasane
Randall, Naomi
Randals, Larry
Randals, Bucky
Randell, Aseph
Randit, Lewin
Randle, Sophie
Rando, Rino
Rando, Anton
Rando, Fumina
Randog, Riza
Randoll, Karl Lichter von
Randolph, Laker
Randolph, Larry
Randolph, Norman
Randou, Eiko
Randou, Jun
Randou, Tatsuya
Randou, Reika
Randou, Ryou
Randou, Miki
Randou, Hiro
Randou, Shin
Randy, Jack
Randy, Jessica
Ranevskaya, Mariya
Rang, Won Sul
Rang, Roy
Rang, Jake
Rangdon, A.J.
Ranger, Death
Ranger, Rio
Rangetsu, Nanayo
Rangetsu, Rokurou
Rangle, Lang
Ranjou, Satsuki
Rank, Arthur
Ranka, Ryunmei
Ranke, Karel
Ranrang, Palpu
Ranranranzaki, Nene
Ransap, Dalil
Ranshido, Sofia
Ranvel, Jilmzen
Rao, Aileen
Rapha Holfort, Mylene
Rapha Holfort, Julius
Rapha Redgrave, Angelica
Raphael, Christine Reika
Rapid, Billy
Rappa, Kendo
Rapual, Theresa
Rara, Mitsuki
Rara, Hiroshi
Rara, Ayuko
Rarada, Fra
Rararin
Raregroove, Lucia
Raregroove, Gale
Raregroove, Shakuma
Rartia, Lorraine
Rashio, Taison
Rashou, Hiroaki
Raskolnikov, Rodion
Raslian, Katua
Raslian, Maria
Raslian, Marie
Rason, Kyrie
Rasputin, Grigori
Rasputin, Grigori
Rasputin, Grigori Yefimovich
Rasputin, Maria
Rasso, Zaidel
Rather, Mark
Rati, Mosh
Ratio, Beatrice
Ratokie, Miharu
Ratokie, Jill
Ratokie, Milly
Ratri, Peter
Ratu, Tasujin
Ratzinger, Joseph
Rau, Mayaya
Rauros, Daphne
Rausu, Tatsuhiko
Rave, Sylph
Raveau, Constance
Raveau, Joel
Raven, Connie
Raven, Shibuki
Ravenhart, Tatara
Ravide, Ernest
Rawnand, Neelam
Raxpa, Jeda
Ray, Amuro
Ray, Justin
Ray, Tem
Ray, Kamaria
Ray, Alan
Ray, Aishwarya
Ray, Everett
Ray Ordesia, Fianna
Rayflo, Johnny
Rayford, Re=L
Rayford, Sion
Rayford, Illushia
Raylle, Shasta
Raylong, Staccato
Raynard, Will
Rayner, Milka
Rayseed, Cawley
Razarasare, Rida
Razin, Stenka
Razor, Abyss
Re, Mii
re Puree, Nei
Re-GZ, Koumei
Rea Regulus, Lucia
Readerman, Paul 
Readiness, Mio
Readman, Yomiko
Reagan, Nancy
Reagar, Professor
Realand
Realight, Jenny
Reamonn, Lore
Reata, Lani
Rebello, Joan
Reberiz, Servantes
Reberth, Lavinia
Rech, Guy Christophe
Rechnio, Sabina
Recitativo, Leif
Reck, Echo
Reck, Swell
Recklessness, Suiar
Record, Jennifer
Red, Duke
Red, Zako
Red, Keith
Red, Jonathan
Red, Akatsuki
Redam, Clive
Redarm, Osceola
Redbat, Derrick
Redder, Abirama
Redfield, Chris
Redfield, Claire
Redfield, Stella
Redfield, Wolf
Redfield, Gideon 
Redford, Maggie
Redford
Redfox, Gajeel
Redgrave, Alex
Redgrave, Luka
Redhands, Emily
Redman, Anuki
Redman, Guntur
Redmond, Edgar
Redon, Meme
Redondo, Robès
Redrose, Liliyn Li Reysis
Redspirit, Oruphaliru
Ree Chérie, Maria
Reed, Clow
Reed, Fei Wong
Reed, Matt
Reed, Elaine
Reed, Kenneth
Reed, Sophia
Reed, Patrick
Reed, Muoru
Reed, Rebecca
Reed, Diana
Reed, Jeanie
Reed, James
Reed, Catherine
Reed, Gloria
Reed, Brian
Reed, Gwenda
Reed, Carol
Reed, Messiah
Reed, Ryan
Reek, Felmis
Reese, Matthew
Reese, Allegra
Reese, Eve
Reest, Martin
Reeve, Orlando
Reeve, Coco
Reeves, Dimo
Reeves, Flegel
Reflann, Simone
Regan, Andreas
Regan, Marine
Regendorf, Wolfgang
Regetta, Regene
Regina, Aqua
Reginand, Michael
Reginhard, Griselda
Reginleif, Princess
Regiostar, Linn
Reglia, Shin
Regret, Witch
Regulus, Callisto
Rei, Myao
Rei Fuan, Shu
Reia, Amase
Reicha, Chiharu
Reicherieru, Reiren Reiru
Reichhart, Lotus
Reichnott, Van
Reichwein, Julius
Reid, Espada
Reid, Shax
Reiden, Theonard
Reidy, Teresa
Reier, Rainer
Reietsu, Go
Reigen, Arataka
Reighe, Asterote
Reijou, Himeko
Reika, Ono
Reikadou, Ayame
Reikadou, Cian
Reimia, Rana
Rein, Alistia
Rein, Ally
Reina, Jane
Reinard, Megumi
Reinford, Alisa
Reinford, Alfred
Reinhardt, Luel Guillaume
Reinhardt, Luka Guillaume
Reinhardt, Adolf
Reinhardt, Leo
Reinhardt, Nicholas
Reinhardt, Vermer
Reinhardt, Rosa
Reinhartd, Celis
Reinhold, Julius
Reinsteinl, Abel
Reiroukan, Misaya
Reisen, Miledi
Reisenbach, Fumika
Reisenbach, Zeus
Reiser, Oscar
Reishou, Haku
Reiss, Frieda
Reiss, Rodd
Reiss, Uri
Reiuji, Utsuho
Reizei, Kuga
Reizei, Awayuki
Reizei, Mako
Reizei, Hisako
Reizei, Chiharu
Reizeiin, Arisu
Reizen, Taki
Reizou, Kanba
Rejina, Maria
Rekka, Yukimura
Relane, Suzy
Relryle, Alielle
Rem, Chrom
Rembrandt, Patrick
Remendis, Carol
Remendis, Flam
Remendis, Grassis
Remercier, Nike
Remercier, Mira
Remercier, Nia
Remercier, Kara
Remercier, Teteru
Remercier, Iraha
Remerio, Hans
Remington, Ewan
Remington, Maxi
Remion, Torway
Remion, Sarihasrag
Remion, Sushuraf
Ren, Kougyoku
Ren, Hakuryuu
Ren, Hakuei
Ren, Kouen
Ren, Koumei
Ren, Kouha
Ren, Gyokuen
Ren, Hakuyuu
Ren, Hakuren
Ren, Rinka
Ren, Kylo
Ren, Hakutoku
Ren, Koutoku
Ren, Lei
Ren Mathers, Adelicia
Rena, Miznuma
Renald Roulle, Kai
Renato, Julio
Renato, Mario
Renato, Serio
Renault, Andre
Renault, Philip
Renbokouji, Satomi
Renbokouji, Akira
Rene, Vanessa
Renegade, Elm
Renfield, Jack
Renfred, Mikhail
Renfro, Zapp
Rengaya, Miwa
Rengaya, Umi
Renge, Kai
Renge, Ren
Rengedou, Yuki
Rengedou, Maki
Rengoku, Kyoujurou
Rengoku, Shinjurou
Rengoku, Senjurou
Rengoku, Ruka
Rengokuin G., Sakihito
Renhou, GRUM
Reni, Lavinia
Renierite, Chalcedony
Renjo, Kyuu
Renjo, Sayuri
Renjo, Satoru
Renjou, Hotsuma
Renjou, Yukito
Renjou, Fuyuhime
Renjouji, Bell
Renjouji, Yuzuhi
Renka, Jin
Renkaku, Hikiira
Renno, Ryouta
Reno, Janis
Reno, JS
Renock III, Sean
Renod, Roen
Renpei, Iya
Renpo, Kaku
Renxandt, Hugo Baint
Renya, Yagyu
Renzaburo, Taki
Repairs, Vanilla Make
Report, Weather
Requiem, Toune
Reri, Ayabe
Resin, Iino
Resonance, Ruido
Respighi, Anna
Respighi, Paglia
Ressento, Eriey
Restall, Lisara
Restall, Almeia
Reticulum, Balazo
Retsu, Ukyo
Retsusai, Monmon
Rettenmaier, Panasolei Gruze Day
Returner, Anew
Reuel, Olivia
Reus, Aloys
Reuters, Sandoval
Revant, Roy
Revant, Solty
Reventon, Fuuka
Reverie, Prayer
Revi, Christella
Revil, Johann Abraham
Revival, Revive
Revol, Renatus
Rex, Marticus
Rex, Alex
Rex, Journey
Rex, Miran
Rey, Alex
Reyes, Judy
Reyes, Susan
Reyes, Diego
Reynolds, Robert
Rezelput, Mizeria
Rezelput, Clarissa
Rezerford, Abel
Rheinberger, Anka
Rheinfall, Esseba Failo
Rheinfall, Mail Failo
Rheingau, Gascogne
Rhine, Joseph Banks
Rhineford, Guin Sard
Rhino, Boiling
Rhodan, Kai
Rhode, Jean
Rhodes, Nigel
Rhodes, Bernhardt
Rhodes, James
Rhodes, Jackie
Rhodes, Andrew
Rhodes, Arthur
Rhodes, Penny
Rhodes, Nellie
Rhodes, Mell
Rhody Windam, Charlotte Beatrix Marie
Rhozen, Julius
Rhue, Mickey
Ri, Seisyun
Ri, Akitoshi
Ri, Zhui
Ri, Seishuu
Ri, Seiryuu
Ri, Juntei
Ri, Hakumen
Ri Rifu, Ranra
Rialto, Rin
Rialto, Lou
Ribisi, Emilio
Ricarro, Liz
Ricci, Alessandro
Rice, Frederica
Rich, Baron
Rich, Nathan
Rich, Hylo
Rich, Maron
Richard, Edoardo
Richard, Jean Henri
Richardson, Puria
Richardson, Pete
Richman, D.D.
Richter, Alpha
Richter, Ashuhito
Richter, Eugen
Richter, Wald
Richternach, Orvieto
Richternach, Dimitar
Richthofen, Schlein
Rickenbacker, Rowe
Rickenbacker, Veronica
Rickman, Pochi
Ricks, Yuuze
Rico, Juan
Rico, Johnny
Ridas, Leon
Riddle, Anna
Riddle, Alice
Ridell Crimea, Elincia
Rider, Garrick
Ridgeley, Allen
Ridgway, Anna
Rie, Haruhi
Ried, Diethard
Riefenstahl, Theresia
Riernoit, Casty
Riesman, Richard
Rifin, Sergei
Rifuta, Imu
Riga, Tony
Rigetti, Rene
Rihavein, La Folia
Rihavein, Polifonia
Rihavein, Lucas
Riho
Rii, Katherine
Rijan, Sha 
Rijung, Han
Rikan, Hazaaf
Rikdo, Koshi
Rikiishi, Seiko
Rikiishi, Tooru
Rikiishi, Joe
Rikishi, Chopper
Rikiya, Gabimaru
Rikka, Naoki
