Völundio, Cleo
V. Nanatarou, Yamada
V2 Gundam, Benjamin
Va Itsuzegga, Michael
Vaalheit, Herz
Vaayu, Lisa
Vacheron, Nicola
Vad Wolsloth, Chaton
Vader, Reig
Vadim, Viletta
Vahan, Violette Rem
Vaida, Heoric
Vaida, Ryan
Vaiself, Renner Theiere Chardelon Ryle
Vaiself, Barbro Andrean Ierudo Ryle
Vaiself, Zanac Varleon Igana Ryle
Vajra, Annerose 
Valac, Clara
Valca, Claus
Valca, Hamilcar
Valca, Justina
Valdebron, Alexi
Valdec, Johan
Valdes, Pedro
Valdes, Flores
Valdivia, Jose Antonio
Valedstorm, Olivia
Valencia, Machiko
Valens, Chloe
Valenti, Mary
Valentine, Faye
Valentine, Jan
Valentine, Luke
Valentine, Vincent
Valentine, Kate
Valentine, Jill
Valentine, Funny
Valentine, Ellis
Valentine, Knight
Valentine, Hazel
Valentine, Jessica
Valentine, Scarlet
Valentine, Jewel
Valentine, Kakao
Valentine, Bilin
Valentine, Kevin
Valentine, The Funniest
Valentine Goneril, Hilda
Valentino, Besubia
Valentino, Albert
Valentino, Gregorio
Valeri, Sergio
Valestein, Sara
Valeth, Lezard
Valjean, Jean
Valjean, Fantine
Valjean, Jean
Valkama, Andy
Valkova, Yulia
Valkus
Valkyrie, Gerard
Valkyrie, Nora
Valle, Andrea
Valle, Damien
Vallee, Thomas
Vallenger Jr., Sam
Valley, Perine
Valleymont, Frantz
Valli, Emillia
Vallo, Franz
Vallory, Jacob
Valmer, Sofia
Valois
Valois, Marguerite
Valois Bourgogne, Philippite
Valois de la Motte, Jeanne
Valov, Roman
Valquina, Yan
Valt, Ramal
Valtinas, Edgar
Valueleta Atroholm, Inorai
Vamp, Vanfeny
Vampa, Luigi
Vampir, Argento
Vampir, Kufa
Van, Augur
van Astrea, Reinhard
van Astrea, Wilhelm
van Astrea, Thearesia
van Beethoven, Ludwig
van Beethoven, Ludwig
van Beethoven, Ludwig
van Beethoven, Ludwig
van Beethoven, Ludwig
Van Com, Nguyen
van Dracula Shikabane, Lace
Van Dyke, Dick
van Dyne, Janet
Van Enoch, Chris
van Envlio, Aldred
van Envlio, Kain
van Freeman, Heinrich
Van Giruet, Coud
Van Gogh, Théodorus
van Gogh, Vincent
van Guillotinegeilow, Frederick
van Hellsing, Carl
Van Helsing, Abraham
Van Helsing, Abraham
Van Helsing, Rachel
van Hossen, Maria
van Hossen, Sylvia
Van Houten, Elhaym
Van Huu, Nguyen
van Owen, Leica
Van Winkle, Rip
Vance, Claudette
Vance, Leina
Vance, Elina
Vance, Count
Vandal, Illias
Vandalay Kotobuki, Ichiya
Vandeberme, Olivier
Vandein, Hades
Vandembagu, Bianca von
Vandembagu, Ehrlich von
Vander, Decken IX
Vanderwood, Beth
Vandom, Wilhelmina
Vandoren, Mark
Vanel, Azzurro
Vanette, Mel J
Vanette, Lisa
Vanetti, Nero
Vanetti, Frate
Vanetti, Vincent
Vanetti, Fio
Vangeance, William
Vanquish, Yuni
Vanquish, Rune
Vanrouge, Lilia
Vanstein, Carmilla
Vantarhei, Fromm 
Varantianoz, Yama-Novera
