Za Burrel, Rey
Zabi, Mineva Lao
Zabi, Degwin Sodo
Zabi, Gihren
Zabi, Dozle
Zabi, Garma
Zabi, Kycilia
Zabi, Zenna
Zabi, Sasro
Zabiarov, Sarah
Zabigov, Nastasha
Zaboom, Annex
Zach, Isedo
Zacharias, Mike
Zachs, Barga
Zackly, Darius
Zagan Analeit, Schlain
Zagan Analeit, Suelecia
Zagan Analeit, Julius
Zagart, Zeo
Zagart, Doctor
Zaharias, Viktor
Zaharias, Vera
Zahler, David
Zaiga, Romio
Zaiko, Tadayasu
Zaimokuza, Yoshiteru
Zain Elmes, Teela
Zaito, Yutaka
Zaitsev, Pavlo
Zaitsu, Mamoru
Zaitsu, Misao
Zaitsu, Atsushi
Zaitsu, Gakuto
Zaiyaum, Sesaam
Zaizen, Takuma
Zaizen, Joutarou
Zaizen, Hikaru
Zaizen, Mai
Zaizen, Michael
Zaizen, Touko
Zaizen, Sousuke
Zaizen, Naoyuki
Zaizen, Mitsuo
Zaizen, Aoi
Zaizen, Akira
Zaizen, Kaoru
Zaizen, Karin
Zaizen, Toshio
Zaizen, Chikako
Zaizen, Nanami
Zaizenji, Miyabi
Zakkalight, Egome
Zaksman, Kleine
Zaksman, Frank
Zaku, Zapper
Zaku, Toutaku
Zala, Athrun
Zala, Patrick
Zale, Miguel
Zalpha, Opal
Zaltsev, Jackie
Zama, Shou
Zama, Ichi
Zama, Kaori
Zamouk, Shamshir Zamouk
Zana, Gabor
Zanakurou, Ichikawa
Zanardi, Gianluca
Zanba, Ryuujin
Zande, Zagomel
Zandyke, Liliana 
Zang, Long
Zanga, Goh
Zangief, Alexander Volg
Zangief, Mother
Zankale, Lipia
Zanma, Satomi
Zannin, Demon General
Zant, Van
Zant, Medel
Zanuff, Chipp
Zanuk, Arthur
Zanzou, Raidou
Zanzou
Zaou, Ryuu
Zaraki, Kenpachi
Zaral, Gije
Zard, Shera
Zarl, Erich
Zarock, Zabel
Zashiki, Oyaji
Zashikiwarashi, Zakuro
Zastory, River
Zatou, Ichi
Zattler, Harry
Zattler, Ellie
